title,start_year,end_year,genre,summary,rating,votes,run_time,actors
Grey's Anatomy,2005,Ongoing,"Drama, Romance",A drama centered on the personal and professional lives of five surgical interns and their supervisors.,7.5,266258,41,"Ellen Pompeo, Chandra Wilson, James Pickens Jr., Justin Chambers"
Breaking Bad,2008,2013,"Crime, Drama, Thriller",A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,9.4,1552311,49,"Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brandt"
The Good Doctor,2017,Ongoing,Drama,"Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital.",8.1,70871,41,"Freddie Highmore, Hill Harper, Richard Schiff, Antonia Thomas"
Atypical,2017,2021,"Comedy, Drama","Sam, an 18-year-old on the autism spectrum, decides it's time to find a girlfriend, a journey that sets Sam's mom on her own life-changing path as her son seeks more independence.",8.3,71544,30,"Jennifer Jason Leigh, Keir Gilchrist, Brigette Lundy-Paine, Michael Rapaport"
Stranger Things,2016,Ongoing,"Drama, Fantasy, Horror","When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.",8.7,885856,51,"Millie Bobby Brown, Finn Wolfhard, Winona Ryder, David Harbour"
Friends,1994,2004,"Comedy, Romance",Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,8.9,880918,22,"Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc"
The Flash,2014,Ongoing,"Action, Adventure, Drama","After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the next Flash, fighting crime in Central City.",7.6,320264,43,"Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes"
Peaky Blinders,2013,Ongoing,"Crime, Drama","A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.",8.8,393414,60,"Cillian Murphy, Paul Anderson, Helen McCrory, Sophie Rundle"
He-Man and the Masters of the Universe,2021,Ongoing,"Animation, Action, Adventure","Eternia's Prince Adam discovers the power of Grayskull and transforms into He-Man, Master of the Universe. A reimagining of the classic animated series.",,,,
Vikings,2013,2020,"Action, Adventure, Drama","Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.",8.5,459913,44,"Katheryn Winnick, Gustaf Skarsgård, Alexander Ludwig, Georgia Hirst"
Better Call Saul,2015,Ongoing,"Crime, Drama","The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.",8.8,347857,46,"Bob Odenkirk, Rhea Seehorn, Jonathan Banks, Patrick Fabian"
Supernatural,2005,2020,"Drama, Fantasy, Horror","Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.",8.4,404273,44,"Jared Padalecki, Jensen Ackles, Jim Beaver, Misha Collins"
The Blacklist,2013,Ongoing,"Crime, Drama, Mystery","A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.",8.0,213522,43,"James Spader, Megan Boone, Diego Klattenhoff, Ryan Eggold"
Animal Kingdom,2016,Ongoing,"Crime, Drama","Centers on a Southern California family, whose excessive lifestyle is fueled by their criminal activities.",8.2,26926,60,"Shawn Hatosy, Ben Robson, Jake Weary, Finn Cole"
Brooklyn Nine-Nine,2013,2022,"Comedy, Crime","Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct.",8.4,248583,22,"Andy Samberg, Stephanie Beatriz, Terry Crews, Melissa Fumero"
NCIS: Naval Criminal Investigative Service,2003,Ongoing,"Action, Crime, Drama","The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs.",7.7,125619,60,"Mark Harmon, David McCallum, Sean Murray, Pauley Perrette"
Kingdom,2019,Ongoing,"Action, Drama, History","While strange rumors about their ill King grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.",8.4,34906,45,"Ju Ji-Hoon, Bae Doona, Kim Sungkyu, Hye-jun Kim"
Modern Family,2009,2020,"Comedy, Drama, Romance",Three different but related families face trials and tribulations in their own uniquely comedic ways.,8.4,378030,22,"Ed O'Neill, Sofía Vergara, Julie Bowen, Ty Burrell"
Titans,2018,Ongoing,"Action, Adventure, Crime",A team of young superheroes combat evil and other perils.,7.7,73656,45,"Brenton Thwaites, Teagan Croft, Anna Diop, Ryan Potter"
The Witcher,2019,Ongoing,"Action, Adventure, Fantasy","Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.",8.2,336484,60,"Henry Cavill, Anna Shaffer, Freya Allan, Adjoa Andoh"
Downton Abbey,2010,2015,"Drama, Romance",A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,8.7,171804,58,"Hugh Bonneville, Phyllis Logan, Elizabeth McGovern, Brendan Coyle"
Shingeki no kyojin,2013,2022,"Animation, Action, Adventure","After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",9.0,242582,24,"Yûki Kaji, Marina Inoue, Josh Grelle, Yui Ishikawa"
Suits,2011,2019,"Comedy, Drama","On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers.",8.4,374263,44,"Gabriel Macht, Patrick J. Adams, Meghan Markle, Sarah Rafferty"
La casa de papel,2017,2021,"Action, Crime, Mystery",An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.,8.3,341858,70,"Úrsula Corberó, Álvaro Morte, Itziar Ituño, Pedro Alonso"
Schitt's Creek,2015,2020,Comedy,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek.",8.5,90728,22,"Eugene Levy, Catherine O'Hara, Dan Levy, Annie Murphy"
Outlander,2014,Ongoing,"Drama, Fantasy, Romance",An English combat nurse from 1945 is mysteriously swept back in time to 1743.,8.4,134991,64,"Caitriona Balfe, Sam Heughan, Duncan Lacroix, Sophie Skelton"
The Last Kingdom,2015,Ongoing,"Action, Drama, History","As Alfred the Great defends his kingdom from Norse invaders, Uhtred - born a Saxon but raised by Vikings - seeks to claim his ancestral birthright.",8.4,94650,60,"Alexander Dreymon, Eliza Butterworth, Arnas Fedaravicius, Millie Brady"
Black Mirror,2011,Ongoing,"Drama, Sci-Fi, Thriller","An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.",8.8,469407,60,"Daniel Lapaine, Hannah John-Kamen, Michaela Coel, Beatrice Robertson-Jones"
Ozark,2017,Ongoing,"Crime, Drama, Thriller","A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss.",8.4,206090,60,"Jason Bateman, Laura Linney, Sofia Hublitz, Skylar Gaertner"
The Crown,2016,Ongoing,"Biography, Drama, History",Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.,8.6,169517,58,"Claire Foy, Olivia Colman, Imelda Staunton, Matt Smith"
Sweet Tooth,2021,Ongoing,"Action, Adventure, Drama",A boy who is half human and half deer survives in a post-apocalyptic world with other hybrids.,7.9,37142,44,"Nonso Anozie, Christian Convery, Adeel Akhtar, Stefania LaVie Owen"
Fargo,2014,Ongoing,"Crime, Drama, Thriller","Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.",8.9,341221,53,"Billy Bob Thornton, Martin Freeman, Allison Tolman, Colin Hanks"
How I Met Your Mother,2005,2014,"Comedy, Romance",A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.,8.3,624036,22,"Josh Radnor, Jason Segel, Cobie Smulders, Neil Patrick Harris"
Community,2009,2015,Comedy,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,8.5,231013,22,"Joel McHale, Danny Pudi, Donald Glover, Chevy Chase"
Sons of Anarchy,2008,2014,"Crime, Drama, Thriller",A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,8.5,270445,45,"Charlie Hunnam, Katey Sagal, Mark Boone Junior, Kim Coates"
StartUp,2016,2018,"Crime, Thriller","A desperate banker, a Haitian-American gang lord and a Cuban-American hacker are forced to work together to unwittingly create their version of the American dream - organized crime 2.0.",7.9,22971,44,"Adam Brody, Edi Gathegi, Otmara Marrero, Kristen Ariza"
The Vampire Diaries,2009,2017,"Drama, Fantasy, Horror","The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.",7.7,293434,43,"Nina Dobrev, Paul Wesley, Ian Somerhalder, Kat Graham"
How to Sell Drugs Online (Fast),2019,Ongoing,"Comedy, Crime, Drama","To win back the love of his life, a high school student and his best friend launch Europe's largest online drug business from their teenage bedroom.",7.9,23960,30,"Maximilian Mundt, Danilo Kamperidis, Lena Klenke, Damian Hardung"
Good Girls,2018,2021,"Comedy, Crime, Drama",Three suburban mothers suddenly find themselves in desperate circumstances and decide to stop playing it safe and risk everything to take their power back.,7.8,38618,43,"Christina Hendricks, Retta, Mae Whitman, Reno Wilson"
13 Reasons Why,2017,2020,"Drama, Mystery, Thriller","Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life.",7.6,266386,60,"Dylan Minnette, Katherine Langford, Christian Navarro, Alisha Boe"
Legends of Tomorrow,2016,Ongoing,"Action, Adventure, Drama","Time-travelling rogue Rip Hunter has to recruit a rag-tag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time.",6.8,95897,42,"Caity Lotz, Amy Louise Pemberton, Dominic Purcell, Nick Zano"
Star Trek: The Next Generation,1987,1994,"Action, Adventure, Mystery","Set almost 100 years after Captain Kirk's five-year mission, a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on their own mission to go where no one has gone before.",8.6,106181,44,"Patrick Stewart, Brent Spiner, Jonathan Frakes, LeVar Burton"
Evil,2019,Ongoing,"Crime, Drama, Horror","A skeptical female clinical psychologist joins a priest-in-training and a blue-collar contractor as they investigate supposed miracles, demonic possession, and other extraordinary occurrences to see if there's a scientific explanation or if something truly supernatural is at work.",7.7,15048,42,"Katja Herbers, Mike Colter, Aasif Mandvi, Maddy Crocco"
The Expanse,2015,Ongoing,"Drama, Mystery, Sci-Fi","In the 24th century, a disparate band of antiheroes unravel a vast conspiracy that threatens the Solar System's fragile state of cold war.",8.5,119644,60,"Wes Chatham, Dominique Tipper, Steven Strait, Shohreh Aghdashloo"
New Amsterdam,2018,Ongoing,Drama,A new medical director breaks the rules to heal the system at America's oldest public hospital.,8.1,27709,43,"Ryan Eggold, Janet Montgomery, Freema Agyeman, Jocko Sims"
Line of Duty,2012,Ongoing,"Crime, Drama, Mystery","Drama series following the investigations of AC-12, a controversial police anti-corruption unit.",8.7,46751,60,"Martin Compston, Vicky McClure, Adrian Dunbar, Craig Parkinson"
The 100,2014,2020,"Drama, Mystery, Sci-Fi","Set ninety-seven years after a nuclear war has destroyed civilization, when a spaceship housing humanity's lone survivors sends one hundred juvenile delinquents back to Earth, in hopes of possibly re-populating the planet.",7.6,226962,43,"Eliza Taylor, Bob Morley, Marie Avgeropoulos, Isaiah Washington"
New Girl,2011,2018,Comedy,"After a bad break-up, Jess, an offbeat young woman, moves into an apartment loft with three single men. Although they find her behavior very unusual, the men support her - most of the time.",7.7,200421,22,"Zooey Deschanel, Jake Johnson, Max Greenfield, Hannah Simone"
Prison Break,2005,2017,"Action, Crime, Drama","Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside.",8.3,492438,44,"Dominic Purcell, Wentworth Miller, Amaury Nolasco, Robert Knepper"
Sex Education,2019,Ongoing,"Comedy, Drama",A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.,8.3,177274,45,"Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey"
Feels Like Ishq,2021,Ongoing,"Comedy, Drama, Romance",Short films follow young adults as they navigate the gamut of emotions that come with finding romantic connection in unexpected places.,6.6,848,32,"Jojo Singh, Mihir Ahuja, Kajol Chugh, Sumali Khaniwale"
Young Royals,2021,Ongoing,"Drama, Romance","Prince Wilhelm adjusts to life at his prestigious new boarding school, Hillerska, but following his heart proves more challenging than anticipated.",8.6,16954,50,"Edvin Ryding, Omar Rudberg, Frida Argento, Samuel Astor"
Shadow and Bone,2021,Ongoing,"Action, Adventure, Drama",Dark forces conspire against orphan mapmaker Alina Starkov when she unleashes an extraordinary power that could change the fate of her war-torn world.,7.7,60283,,"Jessie Mei Li, Ben Barnes, Archie Renaux, Freddy Carter"
Mad Men,2007,2015,Drama,"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.",8.6,216203,47,"Jon Hamm, Elisabeth Moss, Vincent Kartheiser, January Jones"
Élite,2018,Ongoing,"Crime, Drama, Thriller","When three working-class teenagers begin attending an exclusive private school in Spain, the clash between them and the wealthy students leads to murder.",7.5,59730,60,"Itzan Escamilla, Omar Ayuso, Miguel Bernardeau, Arón Piper"
Gilmore Girls,2000,2007,"Comedy, Drama","A dramedy centering around the relationship between a thirtysomething single mother and her teen daughter living in Stars Hollow, Connecticut.",8.1,106650,44,"Lauren Graham, Alexis Bledel, Keiko Agena, Scott Patterson"
Sky Rojo,2021,Ongoing,"Action, Adventure, Crime","Coral, Wendy, and Gina go on the run in search of freedom while being chased by Romeo, their pimp from Las Novias Club, and his henchmen, Moises and Christian.",6.5,6940,31,"Verónica Sánchez, Miguel Ángel Silvestre, Asier Etxeandia, Lali Espósito"
Lupin,2021,Ongoing,"Action, Crime, Drama","Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family.",7.5,84428,45,"Omar Sy, Ludivine Sagnier, Hervé Pierre, Soufiane Guerrab"
Heartland,2007,Ongoing,"Drama, Family","A multi-generational saga set in Alberta, Canada and centered on a family getting through life together in both happy and trying times.",8.4,11764,45,"Amber Marshall, Shaun Johnston, Michelle Morgan, Graham Wardle"
Family Guy,1999,2022,"Animation, Comedy","In a wacky Rhode Island town, a dysfunctional family strive to cope with everyday life as they are thrown from one crazy scenario to another.",8.1,312584,22,"Seth MacFarlane, Alex Borstein, Seth Green, Mila Kunis"
Daredevil,2015,2018,"Action, Crime, Drama","A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.",8.6,374963,54,"Charlie Cox, Vincent D'Onofrio, Deborah Ann Woll, Elden Henson"
Dark,2017,2020,"Crime, Drama, Mystery","A family saga with a supernatural twist, set in a German town, where the disappearance of two young children exposes the relationships among four families.",8.8,312629,60,"Louis Hofmann, Karoline Eichhorn, Lisa Vicari, Maja Schöne"
Boku no hîrô akademia,2016,Ongoing,"Animation, Action, Adventure",A superhero-loving boy without any powers is determined to enroll in a prestigious hero academy and learn what it really means to be a hero.,8.4,44367,24,"Daiki Yamashita, Nobuhiko Okamoto, Ayane Sakura, Justin Briner"
Cobra Kai,2018,Ongoing,"Action, Comedy, Drama","Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.",8.6,122268,30,"Courtney Henggeler, Mary Mouser, Tanner Buchanan, Ralph Macchio"
Gotham,2014,2019,"Action, Crime, Drama",The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival.,7.8,216458,42,"Ben McKenzie, Jada Pinkett Smith, Donal Logue, Camren Bicondova"
Billions,2016,Ongoing,Drama,"U.S. Attorney Chuck Rhoades goes after hedge fund king Bobby ""Axe"" Axelrod in a battle between two powerful New York figures.",8.4,74094,60,"Paul Giamatti, Damian Lewis, Maggie Siff, David Costabile"
Agents of S.H.I.E.L.D.,2013,2020,"Action, Adventure, Drama","The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division.",7.5,205119,45,"Clark Gregg, Ming-Na Wen, Brett Dalton, Iain De Caestecker"
Arrow,2012,2020,"Action, Adventure, Crime","Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.",7.5,414712,42,"Stephen Amell, Katie Cassidy, David Ramsey, Susanna Thompson"
Orange Is the New Black,2013,2019,"Comedy, Crime, Drama","Convicted of a decade old crime of transporting drug money to an ex-girlfriend, normally law-abiding Piper Chapman is sentenced to a year and a half behind bars to face the reality of how life-changing prison can really be.",8.0,284554,59,"Taylor Schilling, Danielle Brooks, Taryn Manning, Emma Myles"
Gossip Girl,2007,2012,"Drama, Romance",Privileged teens living on the Upper East Side of New York can hide no secret from the ruthless blogger who is always watching.,7.4,159666,42,"Blake Lively, Leighton Meester, Penn Badgley, Ed Westwick"
Bridgerton,2020,Ongoing,"Drama, Romance","Wealth, lust, and betrayal set against the backdrop of Regency-era England, seen through the eyes of the powerful Bridgerton family.",7.3,83944,60,"Phoebe Dynevor, Regé-Jean Page, Nicola Coughlan, Jonathan Bailey"
The Kominsky Method,2018,2021,"Comedy, Drama","An aging actor, who long ago enjoyed a brush with fame, makes his living as an acting coach.",8.2,33440,30,"Michael Douglas, Sarah Baker, Graham Rogers, Melissa Tang"
Homeland,2011,2020,"Crime, Drama, Mystery",A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil.,8.3,322307,55,"Claire Danes, Mandy Patinkin, Damian Lewis, Rupert Friend"
Riverdale,2017,Ongoing,"Crime, Drama, Mystery","While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.",6.8,126112,45,"K.J. Apa, Lili Reinhart, Camila Mendes, Cole Sprouse"
Sherlock,2010,2017,"Crime, Drama, Mystery",A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.,9.1,839029,88,"Benedict Cumberbatch, Martin Freeman, Una Stubbs, Rupert Graves"
Queen of the South,2016,2021,"Action, Crime, Drama",Teresa flees Mexico after her drug-runner boyfriend is murdered. Settling in Dallas she looks to become the country's reigning drug smuggler and to avenge her lover's murder.,8.0,23318,42,"Alice Braga, Hemky Madera, Peter Gadiot, Veronica Falcón"
CSI: Crime Scene Investigation,2000,2015,"Crime, Drama, Mystery",Series following an elite team of police forensic evidence investigation experts as they work their cases in Las Vegas.,7.6,78589,60,"Laurence Fishburne, Marg Helgenberger, George Eads, Eric Szmanda"
The Umbrella Academy,2019,Ongoing,"Action, Adventure, Comedy","A family of former child heroes, now grown apart, must reunite to continue to protect the world.",8.0,175513,60,"Elliot Page, Tom Hopper, David Castañeda, Emmy Raver-Lampman"
Supergirl,2015,2021,"Action, Adventure, Drama",The adventures of Superman's cousin in her own superhero career.,6.2,115373,43,"Melissa Benoist, Chyler Leigh, David Harewood, Mehcad Brooks"
BoJack Horseman,2014,2020,"Animation, Comedy, Drama","BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.",8.7,124318,25,"Will Arnett, Amy Sedaris, Alison Brie, Aaron Paul"
I Think You Should Leave with Tim Robinson,2019,Ongoing,Comedy,"In this new sketch show, Tim Robinson and guests spend each segment driving someone to the point of needing -- or desperately wanting -- to leave.",7.8,8095,16,"Tim Robinson, Sam Richardson, Patti Harrison, Conner O'Malley"
South Park,1997,Ongoing,"Animation, Comedy","Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.",8.7,340148,22,"Trey Parker, Matt Stone, Isaac Hayes, Mona Marshall"
Once Upon a Time,2011,2018,"Adventure, Fantasy, Romance",A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed.,7.7,212616,60,"Ginnifer Goodwin, Jennifer Morrison, Lana Parrilla, Robert Carlyle"
Star Trek: Discovery,2017,Ongoing,"Action, Adventure, Drama","Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien.",7.2,101079,60,"Sonequa Martin-Green, Doug Jones, Anthony Rapp, Mary Wiseman"
Teen Wolf,2011,2017,"Action, Drama, Fantasy",An average high school student and his best friend get caught up in some trouble causing him to receive a werewolf bite. As a result they find themselves in the middle of all sorts of dramas in Beacon Hills.,7.6,132950,41,"Tyler Posey, Holland Roden, Dylan O'Brien, Linden Ashby"
How to Get Away with Murder,2014,2020,"Crime, Drama, Mystery",A group of ambitious law students and their brilliant criminal defense professor become involved in a twisted murder plot that promises to change the course of their lives.,8.1,136135,43,"Viola Davis, Billy Brown, Jack Falahee, Aja Naomi King"
Star Trek: Deep Space Nine,1993,1999,"Action, Adventure, Drama","In the vicinity of the liberated planet of Bajor, the Federation space station Deep Space Nine guards the opening of a stable wormhole to the far side of the galaxy.",8.0,55687,45,"Avery Brooks, Rene Auberjonois, Cirroc Lofton, Alexander Siddig"
Seinfeld,1989,1998,Comedy,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,8.8,264801,22,"Jerry Seinfeld, Julia Louis-Dreyfus, Michael Richards, Jason Alexander"
Spartacus: Blood and Sand,2010,2013,"Action, Adventure, Biography","The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.",8.5,228484,55,"Andy Whitfield, Lucy Lawless, Manu Bennett, Daniel Feuerriegel"
Hawaii Five-0,2010,2020,"Action, Crime, Drama",Steve McGarrett returns home to Oahu in order to find his father's killer; The Governor offers him the chance to run his own task force - Five-0.,7.3,68627,42,"Alex O'Loughlin, Scott Caan, Taylor Wily, Daniel Dae Kim"
Good Witch,2015,2021,"Comedy, Drama, Fantasy","""Good Witch"" will take viewers on a new magical journey with Cassie Nightingale and her daughter Grace. When Dr. Sam Radford moves in next door to Grey House with his son, they are charmed by the 'magical' mother-daughter duo.",7.3,8268,48,"Catherine Bell, Catherine Disher, James Denton, Kylee Evans"
The Sinner,2017,Ongoing,"Crime, Drama, Mystery",Anthology series that examines how and why ordinary people commit brutal crimes.,7.9,96901,45,"Bill Pullman, Dohn Norwood, Adam LeFevre, Jessica Biel"
Arrested Development,2003,2019,Comedy,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.",8.7,284373,22,"Jason Bateman, Michael Cera, Portia de Rossi, Will Arnett"
You,2018,Ongoing,"Crime, Drama, Romance","A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.",7.7,157666,45,"Penn Badgley, Victoria Pedretti, Ambyr Childers, Elizabeth Lail"
Mindhunter,2017,2019,"Crime, Drama, Thriller","Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases.",8.6,235694,60,"Jonathan Groff, Holt McCallany, Anna Torv, Hannah Gross"
Avatar: The Last Airbender,2005,2008,"Animation, Action, Adventure","In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",9.3,265845,23,"Dee Bradley Baker, Zach Tyler, Mae Whitman, Jack De Sena"
The Punisher,2017,2019,"Action, Crime, Drama","After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them.",8.5,194777,53,"Jon Bernthal, Amber Rose Revah, Ben Barnes, Jason R. Moore"
Star Trek: Voyager,1995,2001,"Action, Adventure, Sci-Fi","Pulled to the far side of the galaxy, where the Federation is seventy-five years away at maximum warp speed, a Starfleet ship must cooperate with Maquis rebels to find a way home.",7.8,61917,44,"Kate Mulgrew, Robert Beltran, Roxann Dawson, Robert Duncan McNeill"
Narcos,2015,2017,"Biography, Crime, Drama","A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.",8.8,375261,49,"Pedro Pascal, Lizbeth Eden, Wagner Moura, Boyd Holbrook"
Star Wars: The Clone Wars,2008,2020,"Animation, Action, Adventure",Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.,8.3,71904,23,"Tom Kane, Dee Bradley Baker, Matt Lanter, James Arnold Taylor"
"Murder, She Wrote",1984,1996,"Crime, Drama, Mystery","Professional writer and amateur sleuth Jessica Fletcher uses her intellect, charm, and persistence to get to the bottom of every crime she encounters.",7.0,20330,50,"Angela Lansbury, William Windom, Ron Masak, Louis Herthum"
Blue Bloods,2010,Ongoing,"Crime, Drama, Mystery",Revolves around a family of New York cops.,7.6,34064,43,"Donnie Wahlberg, Bridget Moynahan, Will Estes, Len Cariou"
Heist,2021,Ongoing,"Documentary, Crime, Mystery",Millions in stolen cash. Missing luxury bourbon. Watch ordinary people almost get away with these extraordinary heists in this true crime series.,6.8,846,41,"William Guirola, Megan Barlow, Scott Bender, Jonny Carlson"
